 17:12:58 up 36 min,  1 user,  load average: 0.28, 0.26, 0.20
 17:12:59 up 36 min,  1 user,  load average: 0.28, 0.26, 0.20
 17:13:00 up 36 min,  1 user,  load average: 0.28, 0.26, 0.20
 17:13:01 up 36 min,  1 user,  load average: 0.28, 0.26, 0.20
 17:13:02 up 36 min,  1 user,  load average: 0.28, 0.26, 0.20
 17:13:03 up 36 min,  1 user,  load average: 0.26, 0.26, 0.20
 17:13:04 up 36 min,  1 user,  load average: 0.26, 0.26, 0.20
 17:13:05 up 36 min,  1 user,  load average: 0.26, 0.26, 0.20
 17:13:06 up 37 min,  1 user,  load average: 0.26, 0.26, 0.20
 17:13:07 up 37 min,  1 user,  load average: 0.26, 0.26, 0.20
 17:13:08 up 37 min,  1 user,  load average: 0.24, 0.25, 0.20
 17:13:09 up 37 min,  1 user,  load average: 0.24, 0.25, 0.20
 17:13:10 up 37 min,  1 user,  load average: 0.24, 0.25, 0.20
 17:13:11 up 37 min,  1 user,  load average: 0.24, 0.25, 0.20
 17:13:12 up 37 min,  1 user,  load average: 0.24, 0.25, 0.20
 17:13:13 up 37 min,  1 user,  load average: 0.22, 0.25, 0.19
 17:13:14 up 37 min,  1 user,  load average: 0.22, 0.25, 0.19
 17:13:15 up 37 min,  1 user,  load average: 0.22, 0.25, 0.19
 17:13:16 up 37 min,  1 user,  load average: 0.22, 0.25, 0.19
 17:13:17 up 37 min,  1 user,  load average: 0.22, 0.25, 0.19
 17:13:18 up 37 min,  1 user,  load average: 0.20, 0.24, 0.19
 17:13:19 up 37 min,  1 user,  load average: 0.20, 0.24, 0.19
 17:13:20 up 37 min,  1 user,  load average: 0.20, 0.24, 0.19
 17:13:21 up 37 min,  1 user,  load average: 0.20, 0.24, 0.19
 17:13:22 up 37 min,  1 user,  load average: 0.20, 0.24, 0.19
 17:13:23 up 37 min,  1 user,  load average: 0.18, 0.24, 0.19
 17:13:24 up 37 min,  1 user,  load average: 0.18, 0.24, 0.19
 17:13:25 up 37 min,  1 user,  load average: 0.18, 0.24, 0.19
 17:13:26 up 37 min,  1 user,  load average: 0.18, 0.24, 0.19
 17:13:27 up 37 min,  1 user,  load average: 0.18, 0.24, 0.19
 17:13:28 up 37 min,  1 user,  load average: 0.17, 0.23, 0.19
 17:13:29 up 37 min,  1 user,  load average: 0.17, 0.23, 0.19
 17:13:31 up 37 min,  1 user,  load average: 0.17, 0.23, 0.19
 17:13:32 up 37 min,  1 user,  load average: 0.17, 0.23, 0.19
 17:13:33 up 37 min,  1 user,  load average: 0.17, 0.23, 0.19
 17:13:34 up 37 min,  1 user,  load average: 0.15, 0.23, 0.19
 17:13:35 up 37 min,  1 user,  load average: 0.15, 0.23, 0.19
 17:13:36 up 37 min,  1 user,  load average: 0.15, 0.23, 0.19
 17:13:37 up 37 min,  1 user,  load average: 0.15, 0.23, 0.19
 17:13:38 up 37 min,  1 user,  load average: 0.15, 0.23, 0.19
 17:13:39 up 37 min,  1 user,  load average: 0.14, 0.23, 0.19
 17:13:40 up 37 min,  1 user,  load average: 0.14, 0.23, 0.19
 17:13:41 up 37 min,  1 user,  load average: 0.14, 0.23, 0.19
 17:13:42 up 37 min,  1 user,  load average: 0.14, 0.23, 0.19
 17:13:43 up 37 min,  1 user,  load average: 0.14, 0.23, 0.19
 17:13:44 up 37 min,  1 user,  load average: 0.13, 0.22, 0.19
 17:13:45 up 37 min,  1 user,  load average: 0.13, 0.22, 0.19
 17:13:46 up 37 min,  1 user,  load average: 0.13, 0.22, 0.19
 17:13:47 up 37 min,  1 user,  load average: 0.13, 0.22, 0.19
 17:13:48 up 37 min,  1 user,  load average: 0.13, 0.22, 0.19
 17:13:49 up 37 min,  1 user,  load average: 0.12, 0.22, 0.18
 17:13:50 up 37 min,  1 user,  load average: 0.12, 0.22, 0.18
 17:13:51 up 37 min,  1 user,  load average: 0.12, 0.22, 0.18
 17:13:52 up 37 min,  1 user,  load average: 0.12, 0.22, 0.18
 17:13:53 up 37 min,  1 user,  load average: 0.12, 0.22, 0.18
 17:13:54 up 37 min,  1 user,  load average: 0.11, 0.21, 0.18
 17:13:55 up 37 min,  1 user,  load average: 0.11, 0.21, 0.18
 17:13:56 up 37 min,  1 user,  load average: 0.11, 0.21, 0.18
 17:13:57 up 37 min,  1 user,  load average: 0.11, 0.21, 0.18
 17:13:58 up 37 min,  1 user,  load average: 0.11, 0.21, 0.18
 17:13:59 up 37 min,  1 user,  load average: 0.10, 0.21, 0.18
 17:14:00 up 37 min,  1 user,  load average: 0.10, 0.21, 0.18
 17:14:01 up 37 min,  1 user,  load average: 0.10, 0.21, 0.18
 17:14:02 up 37 min,  1 user,  load average: 0.10, 0.21, 0.18
 17:14:03 up 37 min,  1 user,  load average: 0.10, 0.21, 0.18
 17:14:04 up 37 min,  1 user,  load average: 0.09, 0.21, 0.18
 17:14:05 up 37 min,  1 user,  load average: 0.09, 0.21, 0.18
